GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AA7001,AA7002
"G0900010","1810","Connecticut","090","Fairfield","0010","Fairfield",1185,83
"G0900030","1810","Connecticut","090","Hartford","0030","Hartford",920,17
"G0900050","1810","Connecticut","090","Litchfield","0050","Litchfield",784,4
"G0900070","1810","Connecticut","090","Middlesex","0070","Middlesex",313,57
"G0900090","1810","Connecticut","090","New Haven","0090","New Haven",850,51
"G0900110","1810","Connecticut","090","New London","0110","New London",1579,77
"G0900130","1810","Connecticut","090","Tolland","0130","Tolland",220,0
"G0900150","1810","Connecticut","090","Windham","0150","Windham",602,21
"G1000010","1810","Delaware","100","Kent","0010","Kent",5616,728
"G1000030","1810","Delaware","100","New Castle","0030","New Castle",3919,1047
"G1000050","1810","Delaware","100","Sussex","0050","Sussex",3601,2402
"G1100005","1810","District Of Columbia","110","Alexandria","0005","Alexandria",836,1488
"G1100017","1810","District Of Columbia","110","Georgetown","0017","Georgetown",551,1162
"G1100055","1810","District Of Columbia","110","Rural Fairfax County","0055","Rural Fairfax County",141,353
"G1100075","1810","District Of Columbia","110","Rural Washington county","0075","Rural Washington county",154,955
"G1100115","1810","District Of Columbia","110","Washington City","0115","Washington City",867,1437
"G1300090","1810","Georgia","130","Baldwin","0090","Baldwin",16,2550
"G1300290","1810","Georgia","130","Bryan","0290","Bryan",6,2264
"G1300310","1810","Georgia","130","Bulloch","0310","Bulloch",18,426
"G1300330","1810","Georgia","130","Burke","0330","Burke",76,4691
"G1300390","1810","Georgia","130","Camden","0390","Camden",47,2687
"G1300510","1810","Georgia","130","Chatham","0510","Chatham",578,9748
"G1300590","1810","Georgia","130","Clarke","0590","Clarke",34,2594
"G1300730","1810","Georgia","130","Columbia","0730","Columbia",33,5980
"G1301030","1810","Georgia","130","Effingham","1030","Effingham",1,1010
"G1301050","1810","Georgia","130","Elbert","1050","Elbert",50,4574
"G1301190","1810","Georgia","130","Franklin","1190","Franklin",16,1656
"G1301270","1810","Georgia","130","Glynn","1270","Glynn",8,2845
"G1301330","1810","Georgia","130","Greene","1330","Greene",45,5236
"G1301410","1810","Georgia","130","Hancock","1410","Hancock",25,6456
"G1301570","1810","Georgia","130","Jackson","1570","Jackson",11,1816
"G1301630","1810","Georgia","130","Jefferson","1630","Jefferson",29,2336
"G1301690","1810","Georgia","130","Jones","1690","Jones",439,2587
